x,y,yaw
-2.7547,-6.668,2.438138775066534
-2.7668,-6.6565,2.356964867012024
-2.7667,-6.6566,2.356964867012024
-2.7666,-6.6567,2.3569802844196137
-2.7664,-6.6568,2.3569899882381935
-2.7663,-6.6569,2.3570773942080656
-2.7663,-6.6569,2.357084517622742
-2.7662,-6.6569,2.357089642482113
-2.7691,-6.6542,2.3570934335354723
-2.7832,-6.6396,2.349713074420319
-2.807,-6.6121,2.31365135327595
-2.8389,-6.569,2.2493662467964506
-2.8737,-6.5096,2.1553209785290743
-2.9042,-6.4374,2.034748711417795
-2.9206,-6.3793,1.8986248446692382
-2.9283,-6.3365,1.7939129365108146
-2.9314,-6.3109,1.7223704654074536
-2.9319,-6.307,1.6885591476883204
-2.9318,-6.3072,1.6833895542338033
-2.9328,-6.2983,1.6834083599081848
-2.9356,-6.2717,1.680146818611112
-2.9404,-6.2268,1.6771925370486191
-2.9471,-6.1641,1.6771858185078978
-2.9555,-6.0854,1.6771896480130584
-2.965,-5.9919,1.6769081772120216
-2.9707,-5.9144,1.6590408152451963
-2.9726,-5.8563,1.622766371183042
-2.972,-5.8174,1.5791631951295284
-2.9711,-5.7969,1.5384272659618117
-2.9711,-5.7969,1.516010511220381
-2.971,-5.7954,1.5158853238737424
-2.97,-5.7788,1.5153250419287594
-2.968,-5.7445,1.5129318982462192
-2.9649,-5.6918,1.51293803417325
-2.9608,-5.6214,1.5128014000808636
-2.9558,-5.5352,1.5128028854427376
-2.9484,-5.4329,1.5084068908107717
-2.935,-5.3211,1.4768141861532504
-2.9172,-5.2308,1.4114152245100444
-2.8944,-5.1532,1.3308291858552017
-2.8761,-5.1067,1.2329675149524317
-2.8626,-5.0768,1.1719975661049118
-2.8578,-5.0666,1.142006039683925
-2.8578,-5.0669,1.1342558209944194
-2.8579,-5.0671,1.134279275732808
-2.8556,-5.0623,1.134294537215154
-2.8459,-5.0416,1.1343703164593395
-2.8285,-5.0042,1.1343797452758426
-2.804,-4.9516,1.134278880542859
-2.7731,-4.8855,1.134280561746502
-2.7438,-4.8227,1.1342821816361788
-2.707,-4.7439,1.1342829270799404
-2.6638,-4.6512,1.134284243444727
-2.618,-4.5529,1.134454545304121
-2.5795,-4.4704,1.1342853272827358
-2.5457,-4.3981,1.1343926599649212
-2.5047,-4.3102,1.1343929133000399
-2.4574,-4.2087,1.1342863755352726
-2.4022,-4.0904,1.1342857147724246
-2.345,-3.9678,1.134455543192868
-2.2951,-3.8607,1.1342868857564066
-2.2545,-3.7736,1.1343933220539606
-2.215,-3.6889,1.1343926116510337
-2.1692,-3.5907,1.1343935189289507
-2.1165,-3.4778,1.1343945996565816
-2.0577,-3.3516,1.1342867265313155
-2.0129,-3.2557,1.1342867265313155
-1.9689,-3.1612,1.1343935620508194
-1.9319,-3.0819,1.1343948290519896
-1.8921,-2.9966,1.1343937143739935
-1.8445,-2.8946,1.1343937672397446
-1.7908,-2.7795,1.1343947747053869
-1.7293,-2.6475,1.134287034133381
-1.6705,-2.5215,1.1344558105221845
-1.6194,-2.4121,1.1343945996565816
-1.5777,-2.3225,1.1343947669183967
-1.5398,-2.2413,1.1345033180252788
-1.5034,-2.1632,1.1343948290519896
-1.4747,-2.1017,1.1345000350799137
-1.4546,-2.0586,1.134335084589463
-1.4423,-2.0322,1.1343324123898058
-1.4395,-2.0263,1.1356150799570752
-1.4396,-2.0266,1.13749113902702
-1.4397,-2.0268,1.1374936933416195
-1.4361,-2.0193,1.137553733729287
-1.426,-1.996,1.148470050430686
-1.4119,-1.9573,1.2596187208185758
-1.3964,-1.9014,1.2596187208185758
-1.3869,-1.8541,1.341273935908463
-1.3821,-1.8237,1.393273391105705
-1.3807,-1.815,1.417364841437221
-1.3794,-1.8061,1.4224306371339175
-1.3755,-1.7795,1.4238577610386383
-1.3689,-1.7346,1.424004560613413
-1.3598,-1.6733,1.4240033697568786
-1.348,-1.5937,1.4240013939400462
-1.3345,-1.5023,1.4240006754916978
-1.3233,-1.4249,1.4240008574943197
-1.3158,-1.3656,1.4352257660263514
-1.312,-1.3265,1.4603427210534414
-1.3105,-1.306,1.4880950833927153
-1.3105,-1.306,1.5075712586984213
-1.3105,-1.3062,1.5077041977275902
-1.3103,-1.3035,1.5077030983446122
-1.3091,-1.2843,1.507848787195446
-1.3068,-1.2475,1.507708119908259
-1.3033,-1.1924,1.5077066894915585
-1.2987,-1.1196,1.5077080299574201
-1.2932,-1.0327,1.5077075523665184
-1.2861,-0.9201,1.5077079628235304
-1.2796,-0.8048,1.5315076211403962
-1.2774,-0.6683,1.5315076211403962
-1.2877,-0.518,1.7033976334761787
-1.3176,-0.3546,1.7033976334761787
-1.355,-0.2102,1.7994679904204096
-1.3913,-0.084,1.8441514806489872
-1.4215,0.0208,1.8498502537769872
-1.4466,0.108,1.8498284423311657
-1.4636,0.167,1.849679199226314
-1.4842,0.2388,1.849652089083818
-1.5099,0.3283,1.849595561419017
-1.5397,0.4324,1.8495230085603038
-1.5747,0.5543,1.8495015414056777
-1.613,0.6881,1.849490229812308
-1.6464,0.8047,1.8494863016617673
-1.6747,0.9037,1.849488250164842
-1.6982,0.9816,1.8545544437084955
-1.7179,1.0401,1.8794997965466544
-1.7333,1.0807,1.915674190158463
-1.7423,1.1033,1.9406424098209607
